Tratamentos,REP,COL, S,  N,H
MATA 60%,R1,1,7,13,1.778
MATA 60%,R2,1,10,11,2.272
MATA 60%,R3,1,6,7,1.748
MATA 60%,R4,1,3,7,0.7963
MATA 60%,R5,1,13,24,2.103
MATA 60%,R6,1,17,24,2.648
MATA 60%,R7,1,15,26,2.405
MATA 60%,R8,1,11,24,2.095
MATA 60%,R9,1,7,11,1.768
MATA 60%,R10,1,13,21,2.401
MATA 40%,R1,1,14,18,2.505
MATA 40%,R2,1,21,45,2.602
MATA 40%,R3,1,17,31,2.679
MATA 40%,R4,1,23,45,2.821
MATA 40%,R5,1,18,36,2.622
MATA 40%,R6,1,10,23,1.885
MATA 40%,R7,1,14,29,2.112
MATA 40%,R8,1,20,35,2.751
MATA 40%,R9,1,8,14,1.946
MATA 40%,R10,1,17,24,2.669
MATA 50%,R1,1,5,12,1.424
MATA 50%,R2,1,17,31,2.387
MATA 50%,R3,1,8,16,1.646
MATA 50%,R4,1,10,25,1.889
MATA 50%,R5,1,11,13,2.311
MATA 50%,R6,1,4,4,1.386
MATA 50%,R7,1,5,12,1.314
MATA 50%,R8,1,15,45,1.991
MATA 50%,R9,1,10,25,1.663
MATA 50%,R10,1,13,27,1.939
MATA 70%,R1,1,14,20,2.511
MATA 70%,R2,1,15,23,2.545
MATA 70%,R3,1,18,29,2.674
MATA 70%,R4,1,18,27,2.744
MATA 70%,R5,1,23,41,2.74
MATA 70%,R6,1,18,45,2.43
MATA 70%,R7,1,13,18,2.428
MATA 70%,R8,1,25,41,2.942
MATA 70%,R9,1,18,34,2.565
MATA 70%,R10,1,10,15,2.079
MATA2 40%,R1,1,19,34,2.548
MATA2 40%,R2,1,18,33,2.445
MATA2 40%,R3,1,24,71,2.468
MATA2 40%,R4,1,15,29,2.312
MATA2 40%,R5,1,14,43,2.003
MATA2 40%,R6,1,15,26,2.246
MATA2 40%,R7,1,6,19,1.229
MATA2 40%,R8,1,15,42,2.143
MATA2 40%,R9,1,12,22,2.083
MATA 20%,R1,1,14,36,1.889
MATA 20%,R2,1,17,29,2.446
MATA 20%,R3,1,13,24,2.279
MATA 20%,R4,1,15,27,2.446
MATA 20%,R5,1,11,29,1.999
MATA 20%,R6,1,12,19,2.229
MATA 20%,R7,1,13,20,2.415
MATA 20%,R8,1,15,20,2.524
MATA 20%,R9,1,12,18,2.289
MATA 20%,R10,1,13,32,2.052
MATA,R1,1,8,29,1.296
MATA,R2,1,2,151,3.98E-02
MATA,R3,1,6,125,0.2323
MATA,R4,1,5,18,0.8378
MATA,R5,1,8,50,1.035
MATA,R6,1,11,67,1.361
MATA,R7,1,13,82,1.026
MATA,R8,1,9,141,0.4912
MATA,R9,1,5,42,0.4465
MATA,R10,1,10,52,1.112
MATA 60%,R1,2,5,5,1.609
MATA 60%,R2,2,6,8,1.733
MATA 60%,R3,2,13,16,2.48
MATA 60%,R4,2,12,13,2.458
MATA 60%,R5,2,9,12,2.095
MATA 60%,R6,2,7,7,1.946
MATA 60%,R7,2,11,12,2.369
MATA 60%,R8,2,4,4,1.386
MATA 60%,R9,2,10,13,2.245
MATA 60%,R10,2,7,12,1.748
MATA 40%,R1,2,20,29,2.871
MATA 40%,R2,2,14,17,2.558
MATA 40%,R3,2,11,18,2.293
MATA 40%,R4,2,9,12,2.138
MATA 40%,R5,2,12,13,2.458
MATA 40%,R6,2,8,8,2.079
MATA 40%,R7,2,8,10,1.973
MATA 40%,R8,2,9,9,2.197
MATA 40%,R9,2,15,15,2.708
MATA 40%,R10,2,13,15,2.523
MATA 50%,R1,2,14,17,2.589
MATA 50%,R2,2,8,10,2.025
MATA 50%,R3,2,6,8,1.667
MATA 50%,R4,2,9,11,2.146
MATA 50%,R5,2,9,9,2.197
MATA 50%,R6,2,3,3,1.099
MATA 50%,R7,2,9,10,2.164
MATA 50%,R8,2,7,7,1.946
MATA 50%,R9,2,7,9,1.831
MATA 50%,R10,2,8,9,2.043
MATA 70%,R1,2,7,10,1.887
MATA 70%,R2,2,6,6,1.792
MATA 70%,R3,2,7,13,1.778
MATA 70%,R4,2,7,11,1.846
MATA 70%,R5,2,8,13,1.885
MATA 70%,R6,2,1,1,0
MATA 70%,R7,2,14,15,2.616
MATA 70%,R8,2,8,10,2.025
MATA 70%,R9,2,6,6,1.792
MATA 70%,R10,2,6,6,1.792
MATA2 40%,R1,2,9,15,1.987
MATA2 40%,R2,2,6,8,1.667
MATA2 40%,R3,2,5,5,1.609
MATA2 40%,R4,2,10,12,2.254
MATA2 40%,R5,2,5,7,1.475
MATA2 40%,R6,2,5,5,1.609
MATA2 40%,R7,2,10,10,2.303
MATA2 40%,R8,2,13,22,2.398
MATA2 40%,R9,2,13,18,2.293
MATA2 40%,R10,2,16,17,2.752
MATA 20%,R1,2,12,167,0.6713
MATA 20%,R2,2,18,104,1.423
MATA 20%,R3,2,22,78,1.965
MATA 20%,R4,2,16,43,2.22
MATA 20%,R5,2,5,7,1.475
MATA 20%,R6,2,11,11,2.398
MATA 20%,R7,2,9,13,1.946
MATA 20%,R8,2,5,10,1.228
MATA 20%,R9,2,2,2,0.6931
MATA,R1,2,0,0,0
MATA,R2,2,8,12,2.023
MATA,R3,2,12,15,2.396
MATA,R4,2,5,5,1.609
MATA,R5,2,8,9,2.043
MATA,R6,2,7,29,1.203
MATA,R7,2,9,9,2.197
MATA,R8,2,5,11,1.295
MATA,R9,2,9,14,1.965
MATA,R10,2,8,10,1.973
