Tratamentos,REP, S,  N,H
PAN,1,8,68,1.124
PAN,2,9,99,1.142
PAN,3,8,78,1.199
PAN,4,10,88,1.59
PAN,5,9,163,0.9573
PAN,6,8,91,1.263
PAN,7,7,102,1.173
PAN,8,12,145,1.478
PAN,9,9,144,0.725
PAN,10,7,212,0.5475
PAN,11,7,91,1.116
PAN,12,9,125,1.078
PAN,13,6,149,0.7129
PAN,14,8,155,1.019
PAN,15,8,232,0.9497
PAN,16,9,88,1.206
PAN,17,11,193,0.7816
PAN,18,9,153,1.054
PAN,19,9,296,0.4747
PAN,20,8,203,0.7845
SUG,1,2,16,0.3768
SUG,2,3,9,0.8487
SUG,3,3,29,0.2988
SUG,4,3,17,0.4438
SUG,5,3,41,0.5095
SUG,6,2,24,0.5117
SUG,7,3,68,0.4065
SUG,8,3,53,0.4042
SUG,9,2,32,0.3768
SUG,10,3,26,0.5858
SUG,11,3,22,0.6002
SUG,12,3,29,0.2988
SUG,13,2,26,0.163
SUG,14,3,53,0.31
SUG,15,3,54,0.3057
SUG,16,3,38,0.5073
SUG,17,2,27,0.3488
SUG,18,2,52,0.163
SUG,19,2,35,0.219
SUG,20,3,37,0.2478
