Tratamentos,COL,REP,S,N,H
PAN,1,1,1,2,0
PAN,1,2,0,0,0
PAN,1,3,0,0,0
PAN,1,4,1,1,0
PAN,1,5,1,1,0
PAN,1,6,0,0,0
PAN,1,7,1,1,0
PAN,1,8,2,2,0.6931
PAN,1,9,2,4,0.5623
PAN,1,10,2,4,0.5623
PAN,1,11,1,1,0
PAN,1,12,0,0,0
PAN,1,13,0,0,0
PAN,1,14,0,0,0
PAN,1,15,0,0,0
PAN,1,16,2,4,0.6931
PAN,1,17,1,2,0
PAN,1,18,2,3,0.6365
PAN,1,19,1,2,0
PAN,1,20,0,0,0
PAN,2,1,2,14,0.4101
PAN,2,2,3,13,0.536
PAN,2,3,1,15,0
PAN,2,4,3,8,1.04
PAN,2,5,2,33,0.1358
PAN,2,6,1,18,0
PAN,2,7,3,5,1.055
PAN,2,8,6,29,0.8327
PAN,2,9,1,39,0
PAN,2,10,5,51,0.5583
PAN,2,11,3,20,0.3944
PAN,2,12,3,30,0.2911
PAN,2,13,1,28,0
PAN,2,14,3,35,0.2586
PAN,2,15,3,51,0.1926
PAN,2,16,2,33,0.1358
PAN,2,17,3,77,0.1385
PAN,2,18,3,38,0.3264
PAN,2,19,4,54,0.2756
PAN,2,20,3,23,0.7393
PAN,3,1,2,13,0.2712
PAN,3,2,4,18,0.8839
PAN,3,3,2,13,0.4293
PAN,3,4,2,10,0.5004
PAN,3,5,4,74,0.3884
PAN,3,6,2,5,0.5004
PAN,3,7,3,31,0.6145
PAN,3,8,3,19,0.4095
PAN,3,9,2,50,9.80E-02
PAN,3,10,3,85,0.3939
PAN,3,11,3,12,0.7215
PAN,3,12,2,35,0.2925
PAN,3,13,4,63,0.3609
PAN,3,14,4,17,1.006
PAN,3,15,4,103,0.5731
PAN,3,16,1,3,0
PAN,3,17,3,51,0.1926
PAN,3,18,2,3,0.6365
PAN,3,19,3,20,0.3944
PAN,3,20,4,87,0.5018
PAN,4,1,3,20,0.639
PAN,4,2,5,12,1.517
PAN,4,3,6,25,0.9257
PAN,4,4,5,34,1.031
PAN,4,5,6,27,1.112
PAN,4,6,3,8,0.9003
PAN,4,7,4,17,0.8853
PAN,4,8,6,19,1.566
PAN,4,9,4,32,0.7614
PAN,4,10,6,70,0.5336
PAN,4,11,4,43,0.6173
PAN,4,12,6,28,1.293
PAN,4,13,4,39,0.6583
PAN,4,14,5,62,0.6917
PAN,4,15,5,32,0.6416
PAN,4,16,6,21,1.128
PAN,4,17,5,36,0.8232
PAN,4,18,6,78,0.9102
PAN,4,19,6,11,1.72
PAN,4,20,3,70,0.3934
PAN,5,1,6,18,1.442
PAN,5,2,6,12,1.633
PAN,5,3,2,5,0.673
PAN,5,4,6,8,1.667
PAN,5,5,3,11,1.067
PAN,5,6,3,10,0.8979
PAN,5,7,1,1,0
PAN,5,8,5,16,1.244
PAN,5,9,4,7,1.277
PAN,5,10,0,0,0
PAN,5,11,3,4,1.04
PAN,5,12,2,8,0.6616
PAN,5,13,1,3,0
PAN,5,14,4,7,1.277
PAN,5,15,3,15,1.085
PAN,5,16,6,12,1.633
PAN,5,17,3,6,1.011
PAN,5,18,3,9,0.9369
PAN,5,19,2,5,0.673
PAN,5,20,3,7,0.9557
PAN,6,1,4,4,1.386
PAN,6,2,2,4,0.6931
PAN,6,3,3,11,0.9165
PAN,6,4,6,13,1.712
PAN,6,5,2,4,0.5623
PAN,6,6,0,0,0
PAN,6,7,3,4,1.04
PAN,6,8,6,17,1.467
PAN,6,9,3,6,0.8676
PAN,6,10,1,2,0
PAN,6,11,1,1,0
PAN,6,12,6,12,1.474
PAN,6,13,3,5,1.055
PAN,6,14,5,14,1.253
PAN,6,15,5,10,1.228
PAN,6,16,0,0,0
PAN,6,17,3,5,0.9503
PAN,6,18,5,10,1.359
PAN,6,19,2,4,0.6931
PAN,6,20,3,11,0.86
PAN,7,1,2,2,0.6931
PAN,7,2,3,9,1.061
PAN,7,3,5,13,1.479
PAN,7,4,5,15,1.205
PAN,7,5,6,14,1.475
PAN,7,6,5,30,1.149
PAN,7,7,4,26,0.873
PAN,7,8,3,17,0.8687
PAN,7,9,3,7,0.9557
PAN,7,10,2,2,0.6931
PAN,7,11,4,10,0.9404
PAN,7,12,4,12,1.237
PAN,7,13,4,12,1.127
PAN,7,14,5,21,0.8661
PAN,7,15,4,24,1.364
PAN,7,16,5,17,1.262
PAN,7,17,5,18,1.426
PAN,7,18,3,8,0.9003
PAN,7,19,6,12,1.474
PAN,7,20,5,9,1.581
SUG,1,1,2,2,0.6931
SUG,1,2,1,1,0
SUG,1,3,1,2,0
SUG,1,4,1,2,0
SUG,1,5,0,0,0
SUG,1,6,0,0,0
SUG,1,7,1,1,0
SUG,1,8,1,1,0
SUG,1,9,1,1,0
SUG,1,10,0,0,0
SUG,1,11,2,4,0.6931
SUG,1,12,1,1,0
SUG,1,13,0,0,0
SUG,1,14,1,1,0
SUG,1,15,2,2,0.6931
SUG,1,16,1,1,0
SUG,1,17,0,0,0
SUG,1,18,0,0,0
SUG,1,19,0,0,0
SUG,1,20,1,2,0
SUG,2,1,1,1,0
SUG,2,2,0,0,0
SUG,2,3,3,6,0.8676
SUG,2,4,2,2,0.6931
SUG,2,5,1,2,0
SUG,2,6,1,2,0
SUG,2,7,2,3,0.6365
SUG,2,8,0,0,0
SUG,2,9,0,0,0
SUG,2,10,2,2,0.6931
SUG,2,11,0,0,0
SUG,2,12,1,1,0
SUG,2,13,1,1,0
SUG,2,14,0,0,0
SUG,2,15,0,0,0
SUG,2,16,1,1,0
SUG,2,17,1,1,0
SUG,2,18,0,0,0
SUG,2,19,1,5,0
SUG,2,20,2,2,0.6931
SUG,3,1,0,0,0
SUG,3,2,1,2,0
SUG,3,3,1,2,0
SUG,3,4,0,0,0
SUG,3,5,1,1,0
SUG,3,6,0,0,0
SUG,3,7,1,1,0
SUG,3,8,0,0,0
SUG,3,9,0,0,0
SUG,3,10,0,0,0
SUG,3,11,0,0,0
SUG,3,12,0,0,0
SUG,3,13,0,0,0
SUG,3,14,1,1,0
SUG,3,15,0,0,0
SUG,3,16,0,0,0
SUG,3,17,1,1,0
SUG,3,18,0,0,0
SUG,3,19,0,0,0
SUG,3,20,0,0,0
SUG,4,1,0,0,0
SUG,4,2,2,2,0.6931
SUG,4,3,1,3,0
SUG,4,4,1,2,0
SUG,4,5,0,0,0
SUG,4,6,0,0,0
SUG,4,7,0,0,0
SUG,4,8,1,1,0
SUG,4,9,1,1,0
SUG,4,10,1,1,0
SUG,4,11,0,0,0
SUG,4,12,0,0,0
SUG,4,13,0,0,0
SUG,4,14,0,0,0
SUG,4,15,0,0,0
SUG,4,16,1,1,0
SUG,4,17,0,0,0
SUG,4,18,1,1,0
SUG,4,19,0,0,0
SUG,4,20,0,0,0
SUG,5,1,2,6,0.4506
SUG,5,2,0,0,0
SUG,5,3,0,0,0
SUG,5,4,0,0,0
SUG,5,5,0,0,0
SUG,5,6,0,0,0
SUG,5,7,1,1,0
SUG,5,8,0,0,0
SUG,5,9,0,0,0
SUG,5,10,0,0,0
SUG,5,11,1,1,0
SUG,5,12,0,0,0
SUG,5,13,1,2,0
SUG,5,14,1,3,0
SUG,5,15,1,4,0
SUG,5,16,0,0,0
SUG,5,17,0,0,0
SUG,5,18,1,5,0
SUG,5,19,0,0,0
SUG,5,20,1,3,0
SUG,6,1,1,3,0
SUG,6,2,0,0,0
SUG,6,3,1,3,0
SUG,6,4,1,2,0
SUG,6,5,1,1,0
SUG,6,6,1,3,0
SUG,6,7,1,9,0
SUG,6,8,1,16,0
SUG,6,9,1,2,0
SUG,6,10,2,10,0.6109
SUG,6,11,1,8,0
SUG,6,12,1,8,0
SUG,6,13,2,4,0.5623
SUG,6,14,1,27,0
SUG,6,15,1,13,0
SUG,6,16,1,11,0
SUG,6,17,1,6,0
SUG,6,18,1,23,0
SUG,6,19,1,9,0
SUG,6,20,1,15,0
SUG,7,1,1,4,0
SUG,7,2,1,4,0
SUG,7,3,1,13,0
SUG,7,4,1,9,0
SUG,7,5,2,37,0.3425
SUG,7,6,2,19,0.5763
