TRATAMENTOS,Adraneothrips alternatus,Arorathrips mexicanus,Caliothrips phaseoli,Craniothrips urichi,Enneothrips flavens,Frankliniella bicolor,Frankliniella gardeniae,Frankliniella insularis,Frankliniella schultzei,Franklinothrips vespiformis,Halmathrips sp1,Halmathrips sp2,Heliothrips zucchi,Heterothrips sp,Holothrips sp,Karnyothrips melaleucus,Leucothrips sp.,Phlaeothripinae sp1,Phlaeothripinae sp2,Preeriella sp,Rhinoceps jansei,Stomatothrips angustipennis,Stomatothrips rotundus,Thripinae sp
PAN,6,0,0,5,1,0,0,0,46,0,1,0,0,0,1,0,0,0,1,0,0,0,6,0
PAN,4,0,0,8,0,0,0,1,33,0,1,0,0,1,1,0,0,0,7,0,0,0,6,0
PAN,3,0,0,11,1,0,0,0,49,0,1,0,0,1,0,0,0,5,1,0,0,0,5,0
PAN,11,1,4,15,4,0,0,0,40,0,0,0,0,2,1,0,0,2,3,0,0,0,3,0
PAN,15,0,1,11,0,0,0,0,122,0,0,0,0,1,0,1,0,2,9,0,0,0,1,0
PAN,10,0,0,24,1,0,0,0,29,0,0,0,0,0,1,0,0,4,0,0,0,0,1,0
PAN,10,0,0,25,0,0,1,0,40,0,0,0,0,0,0,0,0,5,1,0,0,0,1,1
PAN,11,0,0,18,2,1,0,0,53,0,0,0,1,1,0,0,0,18,5,0,2,1,3,0
PAN,5,0,0,7,0,0,0,0,120,0,0,0,0,1,0,0,0,1,3,0,0,0,4,0
PAN,10,0,0,4,1,0,0,0,186,0,0,0,0,1,0,0,0,3,5,0,0,0,2,0
PAN,3,0,0,9,6,0,0,0,46,0,0,0,0,2,0,0,0,0,3,0,0,1,10,1
PAN,15,0,1,12,5,0,0,0,83,0,0,0,0,0,0,0,0,2,3,0,0,0,2,0
PAN,10,0,0,8,1,0,0,0,121,0,0,0,0,1,0,0,0,7,0,0,0,0,1,0
PAN,10,0,0,28,6,0,0,0,99,0,0,0,0,2,0,0,0,2,3,0,0,0,2,2
PAN,21,0,0,20,1,0,0,0,170,0,0,0,0,1,0,0,0,1,14,0,0,1,3,0
PAN,6,0,1,15,1,0,1,0,56,0,0,0,0,2,0,0,0,1,1,0,0,0,3,0
PAN,4,0,1,14,0,1,0,0,160,0,2,0,0,1,0,0,0,1,7,0,0,0,2,0
PAN,12,1,0,7,3,0,0,8,108,0,0,0,0,1,0,0,0,2,3,0,0,0,2,0
PAN,6,0,1,11,1,1,0,0,75,0,0,0,0,1,0,0,0,4,2,0,0,0,2,2
PAN,11,0,1,20,3,0,0,0,159,0,0,0,0,1,0,0,0,3,1,0,0,0,4,0
SUG,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
SUG,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
SUG,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27,0,0,1,0,0,0
SUG,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
SUG,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
SUG,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
SUG,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0
SUG,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
SUG,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0
SUG,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
SUG,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
SUG,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0
SUG,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25,0,0,0,0,0,0
SUG,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0
SUG,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,0,0,0,0,0
SUG,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
SUG,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0
SUG,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
SUG,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
SUG,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
