dev3equit	shan3	cafecover	past	mosuso	naoveg	tempo	perenes	arurb	nat	antro
0.704	1.688	7.409	43.657	19.992	0.136	13.012	0.095	0.000	15.701	84.299
0.704	1.688	7.409	43.657	19.992	0.136	13.012	0.095	0.000	15.701	84.299
0.704	1.688	7.409	43.657	19.992	0.136	13.012	0.095	0.000	15.701	84.299
0.704	1.688	7.409	43.657	19.992	0.136	13.012	0.095	0.000	15.701	84.299
0.764	1.678	13.183	30.421	20.840	0.076	3.705	0.000	0.972	30.802	69.198
0.764	1.678	13.183	30.421	20.840	0.076	3.705	0.000	0.972	30.802	69.198
0.764	1.678	13.183	30.421	20.840	0.076	3.705	0.000	0.972	30.802	69.198
0.764	1.678	13.183	30.421	20.840	0.076	3.705	0.000	0.972	30.802	69.198
0.755	18.762	18.880	7.046	16.877	0.286	35.329	3.968	0.000	17.608	82.386
0.755	18.762	18.880	7.046	16.877	0.286	35.329	3.968	0.000	17.608	82.386
0.755	18.762	18.880	7.046	16.877	0.286	35.329	3.968	0.000	17.608	82.386
0.755	18.762	18.880	7.046	16.877	0.286	35.329	3.968	0.000	17.608	82.386
0.818	1.883	30.233	13.361	17.350	0.000	11.487	5.833	0.000	21.722	78.264
0.818	1.883	30.233	13.361	17.350	0.000	11.487	5.833	0.000	21.722	78.264
0.818	1.883	30.233	13.361	17.350	0.000	11.487	5.833	0.000	21.722	78.264
0.686	19.025	37.572	9.090	21.825	0.189	9.149	0.192	8.039	12.927	86.057
0.686	19.025	37.572	9.090	21.825	0.189	9.149	0.192	8.039	12.927	86.057
0.686	19.025	37.572	9.090	21.825	0.189	9.149	0.192	8.039	12.927	86.057
0.686	19.025	37.572	9.090	21.825	0.189	9.149	0.192	8.039	12.927	86.057
0.748	17.234	43.441	11.983	26.344	0.301	3.736	0.301	0.000	13.894	86.106
0.748	17.234	43.441	11.983	26.344	0.301	3.736	0.301	0.000	13.894	86.106
0.748	17.234	43.441	11.983	26.344	0.301	3.736	0.301	0.000	13.894	86.106
0.748	17.234	43.441	11.983	26.344	0.301	3.736	0.301	0.000	13.894	86.106
0.652	16.214	49.442	11.204	23.377	0.369	2.687	0.390	0.000	12.530	87.470
0.652	16.214	49.442	11.204	23.377	0.369	2.687	0.390	0.000	12.530	87.470
0.652	16.214	49.442	11.204	23.377	0.369	2.687	0.390	0.000	12.530	87.470
0.652	16.214	49.442	11.204	23.377	0.369	2.687	0.390	0.000	12.530	87.470
0.591	15.603	56.393	12.464	12.464	0.148	1.072	0.662	0.000	9.858	83.202
0.591	15.603	56.393	12.464	12.464	0.148	1.072	0.662	0.000	9.858	83.202
0.591	15.603	56.393	12.464	12.464	0.148	1.072	0.662	0.000	9.858	83.202
0.591	15.603	56.393	12.464	12.464	0.148	1.072	0.662	0.000	9.858	83.202
