codigo,Tratamentos ,area,REP,COL,PARA,umi,temp,cafecover,dev
C1a,VINTE ,C1a,1,A,0,90.300,23.300,7.409,0.861
C1a,VINTE ,C1a,2,A,0,90.300,23.300,7.409,0.861
C1a,VINTE ,C1a,3,A,100,90.300,23.300,7.409,0.861
C1a,VINTE ,C1a,4,A,0,90.300,23.300,7.409,0.861
C1a,VINTE ,C1a,5,A,100,90.300,23.300,7.409,0.861
C1a,VINTE ,C1a,6,A,100,90.300,23.300,7.409,0.861
C1a,VINTE ,C1a,7,A,0,90.300,23.300,7.409,0.861
C1a,VINTE ,C1a,8,A,0,90.300,23.300,7.409,0.861
C1a,VINTE ,C1a,9,A,0,90.300,23.300,7.409,0.861
C1a,VINTE ,C1a,10,A,100,90.300,23.300,7.409,0.861
C1a,VINTE ,C1a,11,A,100,90.300,23.300,7.409,0.861
C1a,VINTE ,C1a,12,A,100,90.300,23.300,7.409,0.861
C1a,VINTE ,C1a,13,A,0,90.300,23.300,7.409,0.861
C1a,VINTE ,C1a,14,A,0,90.300,23.300,7.409,0.861
C1a,VINTE ,C1a,15,A,0,90.300,23.300,7.409,0.861
C1a,VINTE ,C1a,16,A,0,90.300,23.300,7.409,0.861
C1a,VINTE ,C1a,17,A,0,90.300,23.300,7.409,0.861
C1a,VINTE ,C1a,18,A,0,90.300,23.300,7.409,0.861
C1a,VINTE ,C1a,19,A,0,90.300,23.300,7.409,0.861
C1a,VINTE ,C1a,20,A,0,90.300,23.300,7.409,0.861
C1b,VINTE ,C1b,1,B,0,87.400,21.100,13.183,0.934
C1b,VINTE ,C1b,2,B,100,87.400,21.100,13.183,0.934
C1b,VINTE ,C1b,3,B,0,87.400,21.100,13.183,0.934
C1b,VINTE ,C1b,4,B,0,87.400,21.100,13.183,0.934
C1b,VINTE ,C1b,5,B,0,87.400,21.100,13.183,0.934
C1b,VINTE ,C1b,6,B,50,87.400,21.100,13.183,0.934
C1b,VINTE ,C1b,7,B,0,87.400,21.100,13.183,0.934
C1b,VINTE ,C1b,8,B,0,87.400,21.100,13.183,0.934
C1b,VINTE ,C1b,9,B,33.3,87.400,21.100,13.183,0.934
C1b,VINTE ,C1b,10,B,0,87.400,21.100,13.183,0.934
C1b,VINTE ,C1b,11,B,0,87.400,21.100,13.183,0.934
C1b,VINTE ,C1b,12,B,100,87.400,21.100,13.183,0.934
C1b,VINTE ,C1b,13,B,0,87.400,21.100,13.183,0.934
C1b,VINTE ,C1b,14,B,50,87.400,21.100,13.183,0.934
C1b,VINTE ,C1b,15,B,0,87.400,21.100,13.183,0.934
C1b,VINTE ,C1b,16,B,50,87.400,21.100,13.183,0.934
C1b,VINTE ,C1b,17,B,0,87.400,21.100,13.183,0.934
C1b,VINTE ,C1b,18,B,0,87.400,21.100,13.183,0.934
C1b,VINTE ,C1b,19,B,0,87.400,21.100,13.183,0.934
C1b,VINTE ,C1b,20,B,0,87.400,21.100,13.183,0.934
C1c,VINTE ,C1c,1,C,0,87.700,22.900,18.880,0.923
C1c,VINTE ,C1c,2,C,0,87.700,22.900,18.880,0.923
C1c,VINTE ,C1c,3,C,50,87.700,22.900,18.880,0.923
C1c,VINTE ,C1c,4,C,0,87.700,22.900,18.880,0.923
C1c,VINTE ,C1c,5,C,50,87.700,22.900,18.880,0.923
C1c,VINTE ,C1c,6,C,0,87.700,22.900,18.880,0.923
C1c,VINTE ,C1c,7,C,100,87.700,22.900,18.880,0.923
C1c,VINTE ,C1c,8,C,0,87.700,22.900,18.880,0.923
C1c,VINTE ,C1c,9,C,100,87.700,22.900,18.880,0.923
C1c,VINTE ,C1c,10,C,0,87.700,22.900,18.880,0.923
C1c,VINTE ,C1c,11,C,0,87.700,22.900,18.880,0.923
C1c,VINTE ,C1c,12,C,100,87.700,22.900,18.880,0.923
C1c,VINTE ,C1c,13,C,0,87.700,22.900,18.880,0.923
C1c,VINTE ,C1c,14,C,0,87.700,22.900,18.880,0.923
C1c,VINTE ,C1c,15,C,0,87.700,22.900,18.880,0.923
C1c,VINTE ,C1c,16,C,100,87.700,22.900,18.880,0.923
C1c,VINTE ,C1c,17,C,0,87.700,22.900,18.880,0.923
C1c,VINTE ,C1c,18,C,50,87.700,22.900,18.880,0.923
C1c,VINTE ,C1c,19,C,0,87.700,22.900,18.880,0.923
C1c,VINTE ,C1c,20,C,100,87.700,22.900,18.880,0.923
C2a,QUARENTA ,C2a,1,A,0,85.700,21.800,30.233,1.000
C2a,QUARENTA ,C2a,2,A,50,85.700,21.800,30.233,1.000
C2a,QUARENTA ,C2a,3,A,50,85.700,21.800,30.233,1.000
C2a,QUARENTA ,C2a,4,A,0,85.700,21.800,30.233,1.000
C2a,QUARENTA ,C2a,5,A,50,85.700,21.800,30.233,1.000
C2a,QUARENTA ,C2a,6,A,0,85.700,21.800,30.233,1.000
C2a,QUARENTA ,C2a,7,A,100,85.700,21.800,30.233,1.000
C2a,QUARENTA ,C2a,8,A,100,85.700,21.800,30.233,1.000
C2a,QUARENTA ,C2a,9,A,100,85.700,21.800,30.233,1.000
C2a,QUARENTA ,C2a,10,A,50,85.700,21.800,30.233,1.000
C2a,QUARENTA ,C2a,11,A,0,85.700,21.800,30.233,1.000
C2a,QUARENTA ,C2a,12,A,0,85.700,21.800,30.233,1.000
C2a,QUARENTA ,C2a,13,A,0,85.700,21.800,30.233,1.000
C2a,QUARENTA ,C2a,14,A,0,85.700,21.800,30.233,1.000
C2a,QUARENTA ,C2a,15,A,0,85.700,21.800,30.233,1.000
C2a,QUARENTA ,C2a,16,A,0,85.700,21.800,30.233,1.000
C2a,QUARENTA ,C2a,17,A,0,85.700,21.800,30.233,1.000
C2a,QUARENTA ,C2a,18,A,100,85.700,21.800,30.233,1.000
C2a,QUARENTA ,C2a,19,A,0,85.700,21.800,30.233,1.000
C2a,QUARENTA ,C2a,20,A,50,85.700,21.800,30.233,1.000
C2c,QUARENTA ,C2c,1,C,0,81.200,22.600,37.572,0.839
C2c,QUARENTA ,C2c,2,C,0,81.200,22.600,37.572,0.839
C2c,QUARENTA ,C2c,3,C,33.3,81.200,22.600,37.572,0.839
C2c,QUARENTA ,C2c,4,C,50,81.200,22.600,37.572,0.839
C2c,QUARENTA ,C2c,5,C,0,81.200,22.600,37.572,0.839
C2c,QUARENTA ,C2c,6,C,0,81.200,22.600,37.572,0.839
C2c,QUARENTA ,C2c,7,C,0,81.200,22.600,37.572,0.839
C2c,QUARENTA ,C2c,8,C,0,81.200,22.600,37.572,0.839
C2c,QUARENTA ,C2c,9,C,50,81.200,22.600,37.572,0.839
C2c,QUARENTA ,C2c,10,C,0,81.200,22.600,37.572,0.839
C2c,QUARENTA ,C2c,11,C,0,81.200,22.600,37.572,0.839
C2c,QUARENTA ,C2c,12,C,0,81.200,22.600,37.572,0.839
C2c,QUARENTA ,C2c,13,C,100,81.200,22.600,37.572,0.839
C2c,QUARENTA ,C2c,14,C,0,81.200,22.600,37.572,0.839
C2c,QUARENTA ,C2c,15,C,0,81.200,22.600,37.572,0.839
C2c,QUARENTA ,C2c,16,C,0,81.200,22.600,37.572,0.839
C2c,QUARENTA ,C2c,17,C,100,81.200,22.600,37.572,0.839
C2c,QUARENTA ,C2c,18,C,0,81.200,22.600,37.572,0.839
C2c,QUARENTA ,C2c,19,C,0,81.200,22.600,37.572,0.839
C2c,QUARENTA ,C2c,20,C,50,81.200,22.600,37.572,0.839
C3a,SESSENTA,C3a,1,A,0,78.000,23.600,43.441,0.915
C3a,SESSENTA,C3a,2,A,50,78.000,23.600,43.441,0.915
C3a,SESSENTA,C3a,3,A,0,78.000,23.600,43.441,0.915
C3a,SESSENTA,C3a,4,A,0,78.000,23.600,43.441,0.915
C3a,SESSENTA,C3a,5,A,50,78.000,23.600,43.441,0.915
C3a,SESSENTA,C3a,6,A,0,78.000,23.600,43.441,0.915
C3a,SESSENTA,C3a,7,A,0,78.000,23.600,43.441,0.915
C3a,SESSENTA,C3a,8,A,0,78.000,23.600,43.441,0.915
C3a,SESSENTA,C3a,9,A,0,78.000,23.600,43.441,0.915
C3a,SESSENTA,C3a,10,A,100,78.000,23.600,43.441,0.915
C3a,SESSENTA,C3a,11,A,100,78.000,23.600,43.441,0.915
C3a,SESSENTA,C3a,12,A,0,78.000,23.600,43.441,0.915
C3a,SESSENTA,C3a,13,A,0,78.000,23.600,43.441,0.915
C3a,SESSENTA,C3a,14,A,0,78.000,23.600,43.441,0.915
C3a,SESSENTA,C3a,15,A,100,78.000,23.600,43.441,0.915
C3a,SESSENTA,C3a,16,A,0,78.000,23.600,43.441,0.915
C3a,SESSENTA,C3a,17,A,0,78.000,23.600,43.441,0.915
C3a,SESSENTA,C3a,18,A,0,78.000,23.600,43.441,0.915
C3a,SESSENTA,C3a,19,A,0,78.000,23.600,43.441,0.915
C3a,SESSENTA,C3a,20,A,0,78.000,23.600,43.441,0.915
C3b,SESSENTA,C3a,1,B,0,78.000,23.600,43.441,0.915
C3b,SESSENTA,C3a,2,B,50,78.000,23.600,43.441,0.915
C3b,SESSENTA,C3a,3,B,0,78.000,23.600,43.441,0.915
C3b,SESSENTA,C3a,4,B,0,78.000,23.600,43.441,0.915
C3b,SESSENTA,C3a,5,B,50,78.000,23.600,43.441,0.915
C3b,SESSENTA,C3a,6,B,0,78.000,23.600,43.441,0.915
C3b,SESSENTA,C3a,7,B,0,78.000,23.600,43.441,0.915
C3b,SESSENTA,C3a,8,B,50,78.000,23.600,43.441,0.915
C3b,SESSENTA,C3a,9,B,100,78.000,23.600,43.441,0.915
C3b,SESSENTA,C3a,10,B,0,78.000,23.600,43.441,0.915
C3b,SESSENTA,C3a,11,B,50,78.000,23.600,43.441,0.915
C3b,SESSENTA,C3a,12,B,0,78.000,23.600,43.441,0.915
C3b,SESSENTA,C3a,13,B,0,78.000,23.600,43.441,0.915
C3b,SESSENTA,C3a,14,B,100,78.000,23.600,43.441,0.915
C3b,SESSENTA,C3a,15,B,0,78.000,23.600,43.441,0.915
C3b,SESSENTA,C3a,16,B,0,78.000,23.600,43.441,0.915
C3b,SESSENTA,C3a,17,B,100,78.000,23.600,43.441,0.915
C3b,SESSENTA,C3a,18,B,100,78.000,23.600,43.441,0.915
C3b,SESSENTA,C3a,19,B,0,78.000,23.600,43.441,0.915
C3b,SESSENTA,C3a,20,B,0,78.000,23.600,43.441,0.915
C3c,SESSENTA,C3c,1,C,0,77.400,24.000,56.393,0.723
C3c,SESSENTA,C3c,2,C,50,77.400,24.000,56.393,0.723
C3c,SESSENTA,C3c,3,C,50,77.400,24.000,56.393,0.723
C3c,SESSENTA,C3c,4,C,50,77.400,24.000,56.393,0.723
C3c,SESSENTA,C3c,5,C,0,77.400,24.000,56.393,0.723
C3c,SESSENTA,C3c,6,C,0,77.400,24.000,56.393,0.723
C3c,SESSENTA,C3c,7,C,50,77.400,24.000,56.393,0.723
C3c,SESSENTA,C3c,8,C,0,77.400,24.000,56.393,0.723
C3c,SESSENTA,C3c,9,C,50,77.400,24.000,56.393,0.723
C3c,SESSENTA,C3c,10,C,0,77.400,24.000,56.393,0.723
C3c,SESSENTA,C3c,11,C,0,77.400,24.000,56.393,0.723
C3c,SESSENTA,C3c,12,C,50,77.400,24.000,56.393,0.723
C3c,SESSENTA,C3c,13,C,0,77.400,24.000,56.393,0.723
C3c,SESSENTA,C3c,14,C,50,77.400,24.000,56.393,0.723
C3c,SESSENTA,C3c,15,C,0,77.400,24.000,56.393,0.723
C3c,SESSENTA,C3c,16,C,0,77.400,24.000,56.393,0.723
C3c,SESSENTA,C3c,17,C,0,77.400,24.000,56.393,0.723
C3c,SESSENTA,C3c,18,C,0,77.400,24.000,56.393,0.723
C3c,SESSENTA,C3c,19,C,100,77.400,24.000,56.393,0.723
C3c,SESSENTA,C3c,20,C,100,77.400,24.000,56.393,0.723
