Tratamentos,COL,REP,F,N,PAR/FO,
CONV,1,1,1,2,2.00,
CONV,1,2,2,1,0.50,
CONV,1,3,1,0,0.00,
CONV,1,4,2,0,0.00,
CONV,1,5,3,0,0.00,
CONV,1,6,2,0,0.00,
CONV,1,7,2,0,0.00,
CONV,1,8,1,0,0.00,
CONV,2,1,2,2,1.00,
CONV,2,2,3,0,0.00,
CONV,2,3,1,1,1.00,
CONV,2,4,1,2,2.00,
CONV,2,5,3,1,0.33,
CONV,2,6,2,1,0.50,
CONV,2,7,1,0,0.00,
COB,1,1,6,0,0.00,
COB,1,2,3,0,0.00,
COB,1,3,1,0,0.00,
COB,1,4,1,0,0.00,
COB,1,5,1,0,0.00,
COB,1,6,1,0,0.00,
COB,1,7,3,0,0.00,
COB,1,8,1,0,0.00,
COB,1,9,1,0,0.00,
COB,1,10,4,0,0.00,
COB,1,11,2,0,0.00,
COB,1,12,2,0,0.00,
COB,2,1,1,0,0.00,
COB,2,2,1,2,2.00,
COB,2,3,3,0,0.00,
COB,2,4,2,1,0.50,
COB,2,5,1,0,0.00,
COB,2,6,1,0,0.00,
COB,2,7,3,0,0.00,
COB,2,8,2,0,0.00,
COB,2,9,4,2,0.50,
ESP,1,1,3,0,0.00,
ESP,1,2,3,1,0.33,
ESP,1,3,4,0,0.00,
ESP,1,4,3,0,0.00,
ESP,1,5,2,0,0.00,
ESP,1,6,2,0,0.00,
ESP,1,7,2,0,0.00,
ESP,1,8,3,0,0.00,
ESP,1,9,2,0,0.00,
ESP,1,10,2,0,0.00,
ESP,1,11,2,0,0.00,
ESP,1,12,3,0,0.00,
ESP,1,13,4,0,0.00,
ESP,1,14,4,3,0.75,
ESP,1,15,4,0,0.00,
ESP,1,16,3,1,0.33,
ESP,1,17,4,0,0.00,
ESP,1,18,3,1,0.33,
ESP,1,19,3,1,0.33,
ESP,1,20,3,0,0.00,
ESP,2,1,3,0,0.00,
ESP,2,2,2,1,0.50,
ESP,2,3,3,1,0.33,
ESP,2,4,3,0,0.00,
ESP,2,5,2,1,0.50,
ESP,2,6,2,0,0.00,
ESP,2,7,2,1,0.50,
ESP,2,8,1,0,0.00,
ESP,2,9,3,1,0.33,
ESP,2,10,3,1,0.33,
ESP,2,11,2,1,0.50,
ESP,2,12,4,0,0.00,
ESP,2,13,3,1,0.33,
ESP,2,14,3,0,0.00,
ESP,2,15,3,1,0.33,
ESP,2,16,3,0,0.00,
ESP,2,17,4,0,0.00,
ESP,2,18,4,0,0.00,
ESP,2,19,2,1,0.50,
ESP,2,20,2,2,1.00,
SAF,1,1,1,0,0.00,
SAF,1,2,2,0,0.00,
SAF,1,3,2,0,0.00,
SAF,1,4,5,1,0.20,
SAF,1,5,3,0,0.00,
SAF,1,6,1,0,0.00,
SAF,1,7,1,0,0.00,
SAF,1,8,4,0,0.00,
SAF,1,9,2,1,0.50,
SAF,1,10,1,0,0.00,
SAF,1,11,2,0,0.00,
SAF,2,1,2,1,0.50,
SAF,2,2,3,0,0.00,
SAF,2,3,2,1,0.50,
SAF,2,4,3,0,0.00,
SAF,2,5,1,0,0.00,
SAF,2,6,1,1,1.00,
SAF,2,7,1,0,0.00,
SAF,2,8,1,0,0.00,
SAF,2,9,1,0,0.00,
SAF,2,10,3,1,0.33,
SAF,2,11,3,0,0.00,
SAF,2,12,1,1,1.00,
SAF,2,13,1,0,0.00,
SAF,2,14,2,1,0.50,
SAF,2,15,4,1,0.25,
SAF,2,16,1,0,0.00,
SAF,2,17,1,1,1.00,
