Tratamentos,Atrativa,COL,N
COUVE,SEM,C6,172
COUVE,SEM,C7,160
COUVE,SEM,C8,32
COUVE,SEM,C8,19
COUVE,SEM,C9,162
COUVE,SEM,C10,97
CRAVO,COM,C6,132
CRAVO,COM,C6,173
CRAVO,COM,C7,178
CRAVO,COM,C8,65
CRAVO,COM,C8,49
CRAVO,COM,C9,227
CRAVO,COM,C9,151
CRAVO,COM,C9,126
CRAVO,COM,C9,112
CRAVO,COM,C10,119
COENTRO,COM,C7,79
COENTRO,COM,C7,68
COENTRO,COM,C8,28
COENTRO,COM,C8,23
COENTRO,COM,C9,172
COENTRO,COM,C10,166
COENTRO,COM,C10,110
CRA/MOST,PUSH,C6,164
CRA/MOST,PUSH,C8,43
CRA/MOST,PUSH,C8,60
CRA/MOST,PUSH,C9,118
CRA/MOST,PUSH,C10,81
CRA/MOST,PUSH,C10,169
CRA/MOST,PUSH,C10,129
COE/MOST,PUSH,C6,75
COE/MOST,PUSH,C6,144
COE/MOST,PUSH,C7,119
COE/MOST,PUSH,C8,25
COE/MOST,PUSH,C8,44
COE/MOST,PUSH,C9,142
COE/MOST,PUSH,C9,98
COE/MOST,PUSH,C10,138
COE/MOST,PUSH,C10,128
