Tratamentos,COL,REP,S, N,Chrysopodes divisus ,Chysopodes gonzalezis,Ceraeochrysa silvanoi,Ceraeochrysa tenuicornis,Ceraechrysa sp.,Ungla sp. ,Leucochrysa boxi,Leucochrysa urucumis,Leucochrysa vieirana,Leucochrysa sp1.,Leucochrysa sp2. ,Leucochrysa sp3.,Leucochrysa sp4.
BAIXA,COL1,1,1,1, , , , , , ,1, , , , , , 
BAIXA,COL1,2,0,0, , , , , , , , , , , , , 
BAIXA,COL1,3,1,4, , , , ,4, , , , , , , , 
BAIXA,COL1,4,0,0, , , , , , , , , , , , , 
BAIXA,COL1,5,0,0, , , , , , , , , , , , , 
BAIXA,COL1,6,1,3, , , , , , ,3, , , , , , 
BAIXA,COL2,1,0,0, , , , , , , , , , , , , 
BAIXA,COL2,2,1,7, , , , , , ,7, , , , , , 
BAIXA,COL2,3,0,0, , , , , , , , , , , , , 
BAIXA,COL2,4,0,0, , , , , , , , , , , , , 
BAIXA,COL2,5,0,0, , , , , , , , , , , , , 
BAIXA,COL2,6,1,1, , , , , , , , ,1, , , , 
BAIXA,COL2,7,1,1, , , ,1, , , , , , , , , 
BAIXA,COL2,8,1,2, , ,2, , , , , , , , , , 
BAIXA,COL2,9,2,33, , , , , , ,31,2, , , , , 
BAIXA,COL3,1,2,3, , , , ,2, , , , , ,1, , 
BAIXA,COL3,2,1,5, , , , , , ,5, , , , , , 
BAIXA,COL3,3,1,1, , , , , , , ,1, , , , , 
BAIXA,COL3,4,0,0, , , , , , , , , , , , , 
BAIXA,COL3,5,2,3, ,1, , , , ,2, , , , , , 
BAIXA,COL3,6,0,0, , , , , , , , , , , , , 
BAIXA,COL4,1,0,0, , , , , , , , , , , , , 
BAIXA,COL4,2,0,0, , , , , , , , , , , , , 
BAIXA,COL4,3,0,0, , , , , , , , , , , , , 
BAIXA,COL4,4,0,0, , , , , , , , , , , , , 
BAIXA,COL4,5,2,4, , , , , , , , , , , ,1,3
BAIXA,COL4,6,1,2, , , , , , ,2, , , , , , 
MEDIA,COL1,1,0,0, , , , , , , , , , , , , 
MEDIA,COL1,2,0,0, , , , , , , , , , , , , 
MEDIA,COL1,3,0,0, , , , , , , , , , , , , 
MEDIA,COL1,4,1,1,1, , , , , , , , , , , , 
MEDIA,COL1,5,0,0, , , , , , , , , , , , , 
MEDIA,COL1,6,0,0, , , , , , , , , , , , , 
MEDIA,COL2,1,0,0, , , , , , , , , , , , , 
MEDIA,COL2,2,0,0, , , , , , , , , , , , , 
MEDIA,COL2,3,0,0, , , , , , , , , , , , , 
MEDIA,COL2,4,0,0, , , , , , , , , , , , , 
MEDIA,COL2,5,1,1, , , , , , , , , ,1, , , 
MEDIA,COL2,6,0,0, , , , , , , , , , , , , 
MEDIA,COL2,7,0,0, , , , , , , , , , , , , 
MEDIA,COL2,8,0,0, , , , , , , , , , , , , 
MEDIA,COL2,9,0,0, , , , , , , , , , , , , 
MEDIA,COL3,1,0,0, , , , , , , , , , , , , 
MEDIA,COL3,2,1,1, , , , , ,1, , , , , , , 
MEDIA,COL3,3,1,1, , , , , , , , , ,1, , , 
MEDIA,COL3,4,0,0, , , , , , , , , , , , , 
MEDIA,COL3,5,0,0, , , , , , , , , , , , , 
MEDIA,COL3,6,1,1, , , , , , ,1, , , , , , 
MEDIA,COL4,1,0,0, , , , , , , , , , , , , 
MEDIA,COL4,2,0,0, , , , , , , , , , , , , 
MEDIA,COL4,3,0,0, , , , , , , , , , , , , 
MEDIA,COL4,4,0,0, , , , , , , , , , , , , 
MEDIA,COL4,5,0,0, , , , , , , , , , , , , 
MEDIA,COL4,6,1,12, , , , , , , ,12, , , , , 
ALTA,COL1,1,0,0, , , , , , , , , , , , , 
ALTA,COL1,2,0,0, , , , , , , , , , , , , 
ALTA,COL1,3,0,0, , , , , , , , , , , , , 
ALTA,COL1,4,0,0, , , , , , , , , , , , , 
ALTA,COL1,5,0,0, , , , , , , , , , , , , 
ALTA,COL1,6,0,0, , , , , , , , , , , , , 
ALTA,COL2,1,0,0, , , , , , , , , , , , , 
ALTA,COL2,2,0,0, , , , , , , , , , , , , 
ALTA,COL2,3,0,0, , , , , , , , , , , , , 
ALTA,COL2,4,0,0, , , , , , , , , , , , , 
ALTA,COL2,5,0,0, , , , , , , , , , , , , 
ALTA,COL2,6,0,0, , , , , , , , , , , , , 
ALTA,COL2,7,0,0, , , , , , , , , , , , , 
ALTA,COL2,8,0,0, , , , , , , , , , , , , 
ALTA,COL2,9,0,0, , , , , , , , , , , , , 
ALTA,COL3,1,0,0, , , , , , , , , , , , , 
ALTA,COL3,2,0,0, , , , , , , , , , , , , 
ALTA,COL3,3,1,3,3, , , , , , , , , , , , 
ALTA,COL3,4,1,5,5, , , , , , , , , , , , 
ALTA,COL3,5,0,0, , , , , , , , , , , , , 
ALTA,COL3,6,0,0, , , , , , , , , , , , , 
ALTA,COL4,1,0,0, , , , , , , , , , , , , 
ALTA,COL4,2,0,0, , , , , , , , , , , , , 
ALTA,COL4,3,1,2,2, , , , , , , , , , , , 
ALTA,COL4,4,1,1,1, , , , , , , , , , , , 
ALTA,COL4,5,0,0, , , , , , , , , , , , , 
ALTA,COL4,6,0,0, , , , , , , , , , , , , 
